Document_title,Stop number,BOL_Number,BOL_Key,Origin_Address,O_A_Key,Origin_Zip,Origin_City,Origin_State,Origin_Country,Weight_label,Weight,Dest_Address,D_A_Key,Dest_Zip,Dest_City,Dest_State,Dest_Country,B_T_Key,Bill_To_Address,Bill_To_Zip,Bill_To_City,Bill_To_State,Bill_To_Country,Pickup_Date,Delivery_Date
BaseTender-2160824,0,2160824,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/13/2023
BaseTender-2160830,0,2160830,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/14/2023,6/14/2023
BaseTender-2160831,0,2160831,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/14/2023,6/14/2023
BaseTender-2160837,0,2160837,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/15/2023
BaseTender-2160838,0,2160838,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/15/2023
BaseTender-2160859,0,2160859,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND-LA HABRA 850 S Cypress St Leslie St Entrance La Habra, CA 90631",Destination,90631,LA HABRA,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/22/2023
BaseTender-2160872,0,2160872,REF,"Amalgamated Sugar-Brighton 701 North Main Street Brighton, CO 80601",Origin,80601,BRIGHTON,CO,USA,Weight,42014.5,"TOPCO/AFFILIATED FOODS-AMARILL 1401 W Farmers Ave Amarillo, TX 79118",Destination,79118,AMARILLO,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/16/2023
BaseTender-2160928,0,2160928,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"DAWN FOOD PROD-UNION CITY 2845 Faber St Union City, CA 94587",Destination,94587,ST UNION CITY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/23/2023
BaseTender-2160931,0,2160931,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"DAWN FOOD PROD-UNION CITY 2845 Faber St Union City, CA 94587",Destination,94587,ST UNION CITY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/9/2023,7/10/2023
BaseTender-2160969,0,2160969,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/19/2023,6/19/2023
BaseTender-2160970,0,2160970,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/20/2023
BaseTender-2160971,0,2160971,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/21/2023,6/21/2023
BaseTender-2160972,0,2160972,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/22/2023,6/22/2023
BaseTender-2160973,0,2160973,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/23/2023,6/23/2023
BaseTender-2160974,0,2160974,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/26/2023,6/26/2023
BaseTender-2160975,0,2160975,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/27/2023,6/27/2023
BaseTender-2160976,0,2160976,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/28/2023,6/28/2023
BaseTender-2160978,0,2160978,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/30/2023,6/30/2023
BaseTender-2161046,0,2161046,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/27/2023,6/28/2023
BaseTender-2161047,0,2161047,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/11/2023,7/12/2023
BaseTender-2161048,0,2161048,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/4/2023,7/5/2023
BaseTender-2161049,0,2161049,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/18/2023,7/19/2023
BaseTender-2161050,0,2161050,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/22/2023,8/23/2023
BaseTender-2161051,0,2161051,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/8/2023,8/9/2023
BaseTender-2161052,0,2161052,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/1/2023,8/2/2023
BaseTender-2161053,0,2161053,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/25/2023,7/26/2023
BaseTender-2161054,0,2161054,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/15/2023,8/16/2023
BaseTender-2161055,0,2161055,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/29/2023,8/30/2023
BaseTender-2161056,0,2161056,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,9/5/2023,9/6/2023
BaseTender-2161057,0,2161057,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,9/12/2023,9/13/2023
BaseTender-2161058,0,2161058,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/14/2023,6/15/2023
BaseTender-2161062,0,2161062,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,83687,NAMPA,ID,USA,Weight,43176,"ALBERTSONS-IRVINE 9300 Toledo Way Irvine, CA 92718",Destination,92718,IRVINE,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/21/2023,6/23/2023
BaseTender-2161074,0,2161074,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,42161.5,"KROGER-LAYTON/SMITH'S (RETAIL) 500 N Sugar St Layton, UT 84041",Destination,84041,ST LAYTON,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/20/2023
BaseTender-2161198,0,2161198,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND/VERACITY-CLEARFIELD FREEPORT CENTER bldg E7 Clearfield, UT 84016",Destination,84016,CLEARFIELD,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/22/2023,6/23/2023
BaseTender-2161199,0,2161199,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND/VERACITY-CLEARFIELD FREEPORT CENTER bldg E7 Clearfield, UT 84016",Destination,84016,CLEARFIELD,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/26/2023,6/27/2023
BaseTender-2161200,0,2161200,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND/VERACITY-CLEARFIELD FREEPORT CENTER bldg E7 Clearfield, UT 84016",Destination,84016,CLEARFIELD,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/28/2023,6/29/2023
BaseTender-2161350,0,2161350,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42900,"SAFEWAY RETAIL/NORCAL-TRACY 16900 West Schulte Rd Tracy, CA 95304",Destination,95304,TRACY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/18/2023,6/19/2023
BaseTender-2161398,0,2161398,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"FOWER FRUIT RANCH LLC 215 S 800 E GENOLA, UT 84655",Destination,84655,GENOLA,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/24/2023,7/25/2023
BaseTender-2161400,0,2161400,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"FOWER FRUIT RANCH LLC 215 S 800 E GENOLA, UT 84655",Destination,84655,GENOLA,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/27/2023,7/28/2023
BaseTender-2161402,0,2161402,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"FOWER FRUIT RANCH LLC 215 S 800 E GENOLA, UT 84655",Destination,84655,GENOLA,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/31/2023,8/1/2023
BaseTender-2161404,0,2161404,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"FOWER FRUIT RANCH LLC 215 S 800 E GENOLA, UT 84655",Destination,84655,GENOLA,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/3/2023,8/4/2023
BaseTender-2161465,0,2161465,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42900,"TOPCO/STATER BROS-SAN BERNARDI 311 S Tippecanoe Ave San Bernardino, CA 92408",Destination,92408,SAN BERNADINO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/24/2023,6/26/2203
BaseTender-2161505,0,2161505,REF,"Amalgamated Sugar-Brighton 701 North Main Street Brighton, CO 80601",Origin,80601,BRIGHTON,CO,USA,Weight,41835,"TOPCO/AFFILIATED FOODS-AMARILL 1401 W Farmers Ave Amarillo, TX 79118",Destination,79118,AMARILLO,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/19/2023,6/20/2023
BaseTender-2161533,0,2161533,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/25/2023,6/26/2023
BaseTender-2161680,0,2161680,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK/KRISPY KREME-SEATTLE 5958 1st Ave S Seattle, WA 98108",Destination,98108,SEATTLE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/22/2023,6/23/2023
BaseTender-2161682,0,2161682,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK- SPOKANE 4616 S BEN FRANKLIN LAN SPOKANE, WA 99224",Destination,99224,SPOKANE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/21/2023
BaseTender-2161754,0,2161754,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43452,"SAFEWAY RETAIL/NORCAL-TRACY 16900 West Schulte Rd Tracy, CA 95304",Destination,95304,TRACY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/22/2023,6/23/2023
BaseTender-2161797,0,2161797,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42670,"SAFEWAY STORES RETAIL-AUBURN 3520 Pacific Ave Auburn, WA 98001",Destination,98001,AUBURN,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/28/2023,6/29/2023
BaseTender-2161798,0,2161798,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42000,"SAFEWAY STORES RETAIL-AUBURN 3520 Pacific Ave Auburn, WA 98001",Destination,98001,AUBURN,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/26/2023,6/27/2023
BaseTender-2162171,0,2162171,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42670,"SAFEWAY STORES RETAIL-AUBURN 3520 Pacific Ave Auburn, WA 98001",Destination,98001,AUBURN,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/27/2023,6/28/2023
BaseTender-2162278,0,2162278,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/21/2023
BaseTender-2162363,0,2162363,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43775,"BAKEMARK USA-SEATTLE (1ST) 5958 1st Ave S Seattle, WA 98134",Destination,98134,SEATTLE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/6/2023,7/7/2023
BaseTender-2162364,0,2162364,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-SEATTLE (1ST) 5958 1st Ave S Seattle, WA 98134",Destination,98134,SEATTLE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/4/2023,7/5/2023
BaseTender-2162365,0,2162365,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-SEATTLE (1ST) 5958 1st Ave S Seattle, WA 98134",Destination,98134,SEATTLE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/11/2023,7/12/2023
BaseTender-2162366,0,2162366,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-SEATTLE (1ST) 5958 1st Ave S Seattle, WA 98134",Destination,98134,SEATTLE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/18/2023,7/19/2023
BaseTender-2162367,0,2162367,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-SEATTLE (1ST) 5958 1st Ave S Seattle, WA 98134",Destination,98134,SEATTLE,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/25/2023,7/26/2023
